itemID,adminYear,Grade,Subject,Cycle,Released,inScaling,mainSurBlock,Key,maxPoints,codDomainXScaling,itemLabel,contentDomain2015,mainTopic,Topic,Bullet,Objective,a_est,a_se,b_est,b_se,c_est,c_se,d1_est,d1_se,d2_est,d2_se
M062320,2015,8,M,6,No,Yes,M12,D,1,Applying,Fishing histogram - proportion of fish released,Data and Chance,Data Interpretation,D2,2,D22,1.88576,0.12195,0.56621,0.02756,0.09723,0.01221,,,,
M062296,2015,8,M,6,No,Yes,M12,-,1,Reasoning,Draw a spinner given chance of outcomes,Data and Chance,Chance,D3,3,D33,1.16845,0.04884,0.22072,0.02664,,,,,,
M062001,2015,8,M,6,No,Yes,M14,B,1,Knowing,276 x 85 is equal to,Number,Whole Numbers,N1,1,N11,1.02533,0.12668,0.9153,0.07578,0.34638,0.02405,,,,
M062214,2015,8,M,6,No,Yes,M14,-,1,Applying,Ahmed buys ice cream and a book,Number,"Fractions, Decimals, and Integers",N2,2,N22,1.15799,0.04891,0.45343,0.0275,,,,,,
M062146,2015,8,M,6,No,Yes,M14,A,1,Applying,Find percent of fir trees in a park given a ratio,Number,"Ratio, Proportion and Percent",N3,2,N32,1.3985,0.1055,0.75903,0.03731,0.12619,0.01485,,,,
M062154,2015,8,M,6,No,Yes,M14,-,1,Applying,Number of eggs Minji needs to bake cookies,Number,"Ratio, Proportion and Percent",N3,3,N33,1.35217,0.05438,-0.03,0.02392,,,,,,
M062067,2015,8,M,6,No,Yes,M14,C,1,Knowing,Find value of x when y=5,Algebra,Equations and Inequalities,A2,2,A22,1.21175,0.11159,0.17349,0.07277,0.34431,0.02931,,,,
M062341,2015,8,M,6,No,Yes,M14,D,1,Knowing,Slope of line y=3x-1,Algebra,Relationships and Functions,A3,3,A33,1.03562,0.16624,1.72749,0.09181,0.23493,0.01666,,,,
M062242,2015,8,M,6,No,Yes,M14,A,1,Reasoning,Relationship a graph of a line in words,Algebra,Relationships and Functions,A3,2,A32,1.2476,0.09034,0.1901,0.05073,0.16094,0.02412,,,,
M062170,2015,8,M,6,No,Yes,M14,-,2,Reasoning,Fill in table for number of faces coated with paint,Geometry,Geometric Shapes,G1,4,G14,0.52446,0.02495,0.9899,0.04385,,,0.64513,0.05335,-0.64513,0.07438
M062192,2015,8,M,6,No,Yes,M14,-,1,Applying,Distance from base of ladder to base of building,Geometry,Geometric Shapes,G1,5,G15,1.05845,0.05282,1.17844,0.04182,,,,,,
M062072,2015,8,M,6,No,Yes,M14,-,1,Applying,Graph for Charles' walk or bike to Olympic park,Data and Chance,Data Interpretation,D2,1,D21,1.01792,0.04342,0.20444,0.02919,,,,,,
M062120,2015,8,M,6,No,Yes,M14,C,1,Knowing,Umut picks marbles without replacement,Data and Chance,Chance,D3,3,D33,1.27358,0.09895,0.54028,0.04536,0.16219,0.01967,,,,
M062250A,2015,8,M,6,No,Yes,M14,-,1,Applying,Julia's hexagon box - decorated strip,Geometry,Geometric Measurement,G2,2,G22,1.17471,0.04842,0.1857,0.02622,,,,,,
M062250B,2015,8,M,6,No,Yes,M14,-,1,Applying,Julia's hexagon box - blue paper for sides,Geometry,Geometric Measurement,G2,2,G22,1.38829,0.06259,0.8846,0.02841,,,,,,
